date,open,high,low,volume,name,daily_return_in_perc,rsi,obv,close
08-07-2015,124.48,124.64,122.54,60761614,AAPL,-2.482297717,33.35679099,1116143609,122.57
09-07-2015,123.85,124.06,119.22,78595038,AAPL,-2.039650812,25.79045257,1037548571,120.07
10-07-2015,121.94,123.85,121.21,61354474,AAPL,2.673440493,40.80841639,1098903045,123.28
13-07-2015,125.03,125.755,124.32,41440538,AAPL,1.930564568,44.98198662,1140343583,125.66
14-07-2015,126.04,126.37,125.04,31768139,AAPL,-0.039789909,46.24338624,1108575444,125.61
15-07-2015,125.72,127.15,125.58,33649200,AAPL,0.9632991,46.61061482,1142224644,126.82
16-07-2015,127.74,128.57,127.35,36222447,AAPL,1.332597382,52.51118846,1178447091,128.51
17-07-2015,129.08,129.62,128.31,46164710,AAPL,0.863746012,57.01025892,1224611801,129.62
20-07-2015,130.97,132.97,130.7,58900203,AAPL,1.89014041,68.21256039,1283512004,132.07
21-07-2015,132.85,132.92,130.32,76756427,AAPL,-0.999469978,62.6035503,1206755577,130.75
